Date,Time,Home College,Away College,Location_Extra,Sport,Location,Type
2/5,10:00 PM,TD,MY,Court 2,MHoops,Lanman Center(PWG),Regular
1/29,10:00 PM,MY,BK,Court 2,WHoops,Lanman Center(PWG),Regular


