Date,Time,Home College,Away College,Sport,Location,Room
9/8/2026,8:00 PM,BK,TD,Pickleball,PWG,Room K
9/9/2026,8:00 PM,SY,GH,Pickleball,PWG,Room K
9/10/2026,8:00 PM,PC,TC,Pickleball,PWG,Room K
9/8/2026,9:00 PM,MC,BF,Pickleball,PWG,Room K
9/9/2026,9:00 PM,DC,SM,Pickleball,PWG,Room K
9/10/2026,9:00 PM,BK,MC,Pickleball,PWG,Room K
9/8/2026,10:00 PM,PC,JE,Pickleball,PWG,Room K
9/9/2026,10:00 PM,ES,BR,Pickleball,PWG,Room K
9/10/2026,10:00 PM,TD,BF,Pickleball,PWG,Room K
9/14/2026,8:00 PM,TD,JE,Pickleball,PWG,Room K
9/16/2026,8:00 PM,BK,PC,Pickleball,PWG,Room K
9/17/2026,8:00 PM,GH,BR,Pickleball,PWG,Room K
9/14/2026,9:00 PM,MC,TC,Pickleball,PWG,Room K
9/16/2026,9:00 PM,TD,TC,Pickleball,PWG,Room K
9/17/2026,9:00 PM,DC,MY,Pickleball,PWG,Room K
9/14/2026,10:00 PM,BK,BF,Pickleball,PWG,Room K
9/16/2026,10:00 PM,MC,JE,Pickleball,PWG,Room K
9/17/2026,10:00 PM,SY,SM,Pickleball,PWG,Room K
9/22/2026,8:00 PM,BF,TC,Pickleball,PWG,Room K
9/23/2026,8:00 PM,SY,ES,Pickleball,PWG,Room K
9/24/2026,8:00 PM,SM,MY,Pickleball,PWG,Room K
9/22/2026,9:00 PM,BK,JE,Pickleball,PWG,Room K
9/23/2026,9:00 PM,GH,MY,Pickleball,PWG,Room K
9/24/2026,9:00 PM,SY,BR,Pickleball,PWG,Room K
9/22/2026,10:00 PM,TD,PC,Pickleball,PWG,Room K
9/23/2026,10:00 PM,DC,BR,Pickleball,PWG,Room K
9/24/2026,10:00 PM,GH,ES,Pickleball,PWG,Room K
9/28/2026,8:00 PM,DC,ES,Pickleball,PWG,Room K
9/29/2026,8:00 PM,MC,PC,Pickleball,PWG,Room K
9/30/2026,8:00 PM,GH,DC,Pickleball,PWG,Room K
10/1/2026,8:00 PM,TD,MC,Pickleball,PWG,Room K
9/28/2026,9:00 PM,SM,BR,Pickleball,PWG,Room K
9/29/2026,9:00 PM,BF,JE,Pickleball,PWG,Room K
9/30/2026,9:00 PM,SM,ES,Pickleball,PWG,Room K
10/1/2026,9:00 PM,BF,PC,Pickleball,PWG,Room K
9/28/2026,10:00 PM,SY,MY,Pickleball,PWG,Room K
9/29/2026,10:00 PM,BK,TC,Pickleball,PWG,Room K
9/30/2026,10:00 PM,BR,MY,Pickleball,PWG,Room K
10/1/2026,10:00 PM,JE,TC,Pickleball,PWG,Room K
10/5/2026,8:00 PM,ES,MY,Pickleball,PWG,Room K
10/5/2026,9:00 PM,SY,DC,Pickleball,PWG,Room K
10/5/2026,10:00 PM,GH,SM,Pickleball,PWG,Room K
