Date,Time,Home College,Away College,Sport,Location,Room
9/11/2025,4:00 PM,BF,ES,Flag Football,Yale Bowl Field 1,
9/11/2025,4:00 PM,DC,GH,Flag Football,Yale Bowl Field 2,
9/11/2025,4:00 PM,BR,SY,Flag Football,Yale Bowl Field 3,
9/11/2025,5:15 PM,MC,BK,Flag Football,Yale Bowl Field 1,
9/11/2025,5:15 PM,SM,MY,Flag Football,Yale Bowl Field 2,
9/11/2025,5:15 PM,PC,TD,Flag Football,Yale Bowl Field 3,
9/16/2025,4:00 PM,PC,MY,Flag Football,Yale Bowl Field 1,
9/18/2025,4:00 PM,BR,GH,Flag Football,Yale Bowl Field 1,
9/16/2025,4:00 PM,JE,BK,Flag Football,Yale Bowl Field 2,
9/18/2025,4:00 PM,TC,ES,Flag Football,Yale Bowl Field 2,
9/16/2025,4:00 PM,SM,MC,Flag Football,Yale Bowl Field 3,
9/18/2025,4:00 PM,DC,BF,Flag Football,Yale Bowl Field 3,
9/16/2025,5:15 PM,SY,ES,Flag Football,Yale Bowl Field 1,
9/18/2025,5:15 PM,TD,BK,Flag Football,Yale Bowl Field 1,
9/16/2025,5:15 PM,DC,TC,Flag Football,Yale Bowl Field 2,
9/18/2025,5:15 PM,SM,JE,Flag Football,Yale Bowl Field 2,
9/16/2025,5:15 PM,BR,BF,Flag Football,Yale Bowl Field 3,
9/18/2025,5:15 PM,PC,MC,Flag Football,Yale Bowl Field 3,
9/25/2025,4:00 PM,DC,BR,Flag Football,Yale Bowl Field 1,
9/25/2025,4:00 PM,TC,BF,Flag Football,Yale Bowl Field 2,
9/25/2025,4:00 PM,SY,GH,Flag Football,Yale Bowl Field 3,
9/25/2025,5:15 PM,SM,PC,Flag Football,Yale Bowl Field 1,
9/25/2025,5:15 PM,JE,MC,Flag Football,Yale Bowl Field 2,
9/25/2025,5:15 PM,TD,MY,Flag Football,Yale Bowl Field 3,
9/30/2025,4:00 PM,JE,TD,Flag Football,Yale Bowl Field 1,
9/30/2025,4:00 PM,MC,MY,Flag Football,Yale Bowl Field 2,
9/30/2025,4:00 PM,SM,BK,Flag Football,Yale Bowl Field 3,
9/30/2025,5:15 PM,DC,SY,Flag Football,Yale Bowl Field 1,
9/30/2025,5:15 PM,BR,ES,Flag Football,Yale Bowl Field 2,
9/30/2025,5:15 PM,TC,GH,Flag Football,Yale Bowl Field 3,
10/21/2025,4:00 PM,SM,TD,Flag Football,Yale Bowl Field 1,
10/23/2025,4:00 PM,BR,TC,Flag Football,Yale Bowl ,
10/21/2025,4:00 PM,PC,BK,Flag Football,Yale Bowl Field 2,
10/23/2025,4:00 PM,BF,SY,Flag Football,Yale Bowl ,
10/21/2025,4:00 PM,JE,MY,Flag Football,Yale Bowl Field 3,
10/23/2025,4:00 PM,GH,ES,Flag Football,Yale Bowl ,
10/21/2025,5:15 PM,TC,SY,Flag Football,Yale Bowl Field 1,
10/23/2025,5:15 PM,PC,JE,Flag Football,Yale Bowl ,
10/21/2025,5:15 PM,BF,GH,Flag Football,Yale Bowl Field 2,
10/23/2025,5:15 PM,MC,TD,Flag Football,Yale Bowl ,
10/21/2025,5:15 PM,DC,ES,Flag Football,Yale Bowl Field 3,
10/23/2025,5:15 PM,MY,BK,Flag Football,Yale Bowl ,
