Date,Time,Home College,Away College,Sport,Location,Room
9/9/2026,4:00 PM,SY,TD,Soccer,Yale Bowl/IM fields,
9/9/2026,4:00 PM,BR,DC,Soccer,Yale Bowl/IM fields,
9/9/2026,4:00 PM,PC,ES,Soccer,Yale Bowl/IM fields,
9/9/2026,5:15 PM,MY,GH,Soccer,Yale Bowl/IM fields,
9/9/2026,5:15 PM,MC,SM,Soccer,Yale Bowl/IM fields,
9/9/2026,5:15 PM,TC,BF,Soccer,Yale Bowl/IM fields,
9/14/2026,4:00 PM,TC,JE,Soccer,Yale Bowl/IM fields,
9/16/2026,4:00 PM,TD,ES,Soccer,Yale Bowl/IM fields,
9/14/2026,4:00 PM,MY,MC,Soccer,Yale Bowl/IM fields,
9/16/2026,4:00 PM,BR,BK,Soccer,Yale Bowl/IM fields,
9/14/2026,4:00 PM,GH,SM,Soccer,Yale Bowl/IM fields,
9/16/2026,4:00 PM,SY,DC,Soccer,Yale Bowl/IM fields,
9/14/2026,5:15 PM,PC,BK,Soccer,Yale Bowl/IM fields,
9/16/2026,5:15 PM,GH,BF,Soccer,Yale Bowl/IM fields,
9/14/2026,5:15 PM,SY,BR,Soccer,Yale Bowl/IM fields,
9/16/2026,5:15 PM,MC,JE,Soccer,Yale Bowl/IM fields,
9/14/2026,5:15 PM,TD,DC,Soccer,Yale Bowl/IM fields,
9/16/2026,5:15 PM,MY,SM,Soccer,Yale Bowl/IM fields,
9/23/2026,4:00 PM,SY,PC,Soccer,Yale Bowl/IM fields,
9/23/2026,4:00 PM,TD,BK,Soccer,Yale Bowl/IM fields,
9/23/2026,4:00 PM,BR,ES,Soccer,Yale Bowl/IM fields,
9/23/2026,5:15 PM,MY,TC,Soccer,Yale Bowl/IM fields,
9/23/2026,5:15 PM,GH,JE,Soccer,Yale Bowl/IM fields,
9/23/2026,5:15 PM,MC,BF,Soccer,Yale Bowl/IM fields,
9/28/2026,4:00 PM,SM,JE,Soccer,Yale Bowl/IM fields,
9/30/2026,4:00 PM,BR,PC,Soccer,Yale Bowl/IM fields,
9/28/2026,4:00 PM,MY,BF,Soccer,Yale Bowl/IM fields,
9/30/2026,4:00 PM,DC,ES,Soccer,Yale Bowl/IM fields,
9/28/2026,4:00 PM,GH,TC,Soccer,Yale Bowl/IM fields,
9/30/2026,4:00 PM,SY,BK,Soccer,Yale Bowl/IM fields,
9/28/2026,5:15 PM,DC,BK,Soccer,Yale Bowl/IM fields,
9/30/2026,5:15 PM,MC,TC,Soccer,Yale Bowl/IM fields,
9/28/2026,5:15 PM,SY,ES,Soccer,Yale Bowl/IM fields,
9/30/2026,5:15 PM,SM,BF,Soccer,Yale Bowl/IM fields,
9/28/2026,5:15 PM,TD,PC,Soccer,Yale Bowl/IM fields,
9/30/2026,5:15 PM,MY,JE,Soccer,Yale Bowl/IM fields,
10/5/2026,4:00 PM,GH,MC,Soccer,Yale Bowl/IM fields,
10/5/2026,4:00 PM,SM,TC,Soccer,Yale Bowl/IM fields,
10/5/2026,4:00 PM,BF,JE,Soccer,Yale Bowl/IM fields,
10/5/2026,5:15 PM,TD,BR,Soccer,Yale Bowl/IM fields,
10/5/2026,5:15 PM,DC,PC,Soccer,Yale Bowl/IM fields,
10/5/2026,5:15 PM,ES,BK,Soccer,Yale Bowl/IM fields,
